antiguedad_meses,gasto_mensual,visitas_ultimo_mes,dias_desde_ultima_visita,tickets_soporte,plan,metodo_pago,descuento_activo,cancelo
22,12.2,17,13,0,basico,tarjeta,0,0
13,21.01,4,21,1,estandar,transferencia,0,0
3,12.97,7,11,0,basico,tarjeta,0,0
24,7.79,1,35,2,basico,tarjeta,0,1
17,10.87,7,13,0,basico,efectivo,0,0
47,19.19,8,21,0,estandar,tarjeta,0,0
35,8.85,12,6,0,basico,efectivo,0,0
37,43.33,7,21,0,premium,transferencia,1,0
15,16.48,9,1,0,basico,efectivo,0,0
14,46.86,9,27,0,premium,efectivo,0,1
17,14.55,11,2,0,basico,efectivo,0,0
8,44.9,8,9,2,premium,tarjeta,1,0
13,48.29,15,3,1,premium,transferencia,0,0
11,41.51,9,34,0,premium,transferencia,0,0
28,42.07,3,11,0,premium,transferencia,0,0
32,26.63,12,10,0,estandar,tarjeta,0,0
20,23.88,6,5,1,estandar,efectivo,0,1
7,24.94,4,1,0,estandar,tarjeta,0,0
42,11.34,7,47,2,basico,tarjeta,1,1
24,30.01,13,25,0,estandar,tarjeta,0,0
16,30.22,12,9,0,estandar,tarjeta,0,0
19,42.5,5,40,1,premium,transferencia,1,1
4,17.96,6,5,0,estandar,tarjeta,0,0
11,9.15,3,53,2,basico,transferencia,0,1
30,21.41,19,0,1,estandar,transferencia,1,0
4,15.33,7,24,0,basico,tarjeta,0,0
4,15.68,4,21,0,basico,transferencia,0,0
24,20.88,17,12,0,estandar,tarjeta,0,0
18,8.98,8,18,2,basico,transferencia,0,0
4,6.08,3,54,1,basico,efectivo,0,1
11,12.54,8,20,4,basico,tarjeta,0,0
16,11.82,9,20,0,basico,transferencia,0,0
15,15.16,6,14,0,basico,tarjeta,0,0
17,13.99,6,84,0,basico,tarjeta,0,1
10,27.44,10,10,1,estandar,transferencia,0,0
15,5.83,9,26,1,basico,tarjeta,0,0
20,42.49,7,18,2,premium,transferencia,1,0
19,48.8,4,16,0,premium,tarjeta,0,0
10,22.85,5,5,0,estandar,tarjeta,0,0
22,5.49,7,33,0,basico,efectivo,0,0
6,28.23,6,2,0,estandar,tarjeta,0,0
8,42.69,5,13,0,premium,tarjeta,0,0
24,29.25,2,3,1,estandar,tarjeta,0,0
21,44.93,9,32,0,premium,transferencia,0,0
11,23.89,5,85,1,estandar,tarjeta,0,1
8,30.45,9,10,1,estandar,tarjeta,0,0
9,6.79,6,19,1,basico,tarjeta,0,1
20,30.74,4,24,0,estandar,tarjeta,0,0
17,9.44,1,6,0,basico,efectivo,0,0
7,25.65,5,30,0,estandar,tarjeta,0,1
21,45.69,4,26,0,premium,tarjeta,0,0
11,10.29,7,62,0,basico,transferencia,0,1
6,21.95,6,29,0,estandar,tarjeta,0,1
9,10.52,5,36,1,basico,tarjeta,0,1
14,20.94,7,8,1,estandar,tarjeta,1,0
21,19.85,7,6,1,basico,tarjeta,0,0
20,43.08,7,90,1,premium,transferencia,0,1
12,16.64,2,37,0,basico,efectivo,0,0
15,49.11,5,25,0,premium,efectivo,0,0
11,46.45,8,23,2,premium,efectivo,0,0
7,24.46,9,11,0,estandar,tarjeta,0,0
12,25.78,5,15,2,estandar,tarjeta,0,0
3,27.29,7,3,0,estandar,transferencia,0,0
32,45.4,7,6,1,premium,efectivo,0,0
15,5.73,15,4,0,basico,transferencia,1,0
18,17.73,14,31,1,estandar,tarjeta,0,0
8,18.04,0,21,0,basico,transferencia,1,0
15,14.46,11,31,0,estandar,transferencia,0,1
17,12.78,4,2,0,basico,efectivo,0,1
11,24.06,5,90,1,estandar,transferencia,1,1
11,25.64,3,58,0,estandar,tarjeta,0,0
4,20.44,10,0,0,estandar,tarjeta,0,0
39,26.4,9,33,0,estandar,tarjeta,0,0
8,25.82,7,23,1,estandar,tarjeta,1,0
8,36.04,4,13,1,estandar,efectivo,0,1
34,25.52,20,9,1,estandar,tarjeta,1,0
18,30.39,1,4,1,estandar,tarjeta,1,0
21,39.01,14,2,2,premium,tarjeta,0,0
4,16.08,7,40,0,basico,transferencia,0,1
15,12.91,1,14,1,basico,tarjeta,0,0
4,13.08,0,12,1,basico,tarjeta,0,1
7,26.13,14,19,0,estandar,efectivo,0,1
43,18.83,6,2,0,basico,tarjeta,0,0
6,26.02,6,44,1,estandar,tarjeta,0,1
20,21.86,9,4,0,estandar,tarjeta,0,0
6,9.54,2,37,2,basico,tarjeta,0,1
7,48.27,7,5,1,premium,transferencia,0,0
59,26.79,9,1,2,estandar,efectivo,0,0
12,5.88,0,90,0,basico,tarjeta,1,1
4,14.06,2,38,2,basico,efectivo,1,1
21,7.67,6,65,2,basico,transferencia,0,1
28,13.75,11,24,0,basico,tarjeta,0,0
22,8.78,3,48,0,basico,tarjeta,0,1
11,43.87,9,1,2,premium,tarjeta,0,0
12,9.82,11,19,1,basico,efectivo,1,0
9,18.08,8,16,0,basico,tarjeta,1,0
5,26.61,5,45,1,estandar,tarjeta,0,1
16,30.04,7,6,0,estandar,transferencia,0,0
11,56.58,10,2,0,premium,efectivo,0,0
4,25.19,13,3,2,estandar,transferencia,0,0
12,31.01,7,1,1,estandar,transferencia,0,0
8,9.2,8,20,1,basico,tarjeta,1,1
16,50.02,9,45,1,premium,efectivo,1,1
15,21.77,8,5,0,estandar,tarjeta,0,0
10,44.93,1,15,1,premium,tarjeta,0,0
13,14.15,4,5,0,basico,efectivo,0,0
14,47.78,0,3,3,premium,tarjeta,0,0
24,19.91,9,6,3,estandar,tarjeta,1,0
13,8.53,7,19,0,basico,transferencia,1,1
9,27.45,7,5,1,estandar,tarjeta,0,0
11,23.53,12,20,1,estandar,tarjeta,0,0
37,6.41,13,0,0,basico,transferencia,1,0
6,24.72,3,0,0,estandar,transferencia,1,0
11,44.52,3,17,0,premium,transferencia,0,0
11,12.71,8,10,0,basico,tarjeta,1,0
11,27.12,2,16,0,estandar,tarjeta,1,0
3,13.86,9,15,0,basico,transferencia,0,0
5,8.93,3,15,1,basico,tarjeta,0,1
11,43.36,10,6,0,premium,tarjeta,0,0
9,28.71,13,25,0,estandar,tarjeta,0,0
16,9.83,10,23,0,basico,tarjeta,0,0
26,43.42,5,1,2,premium,tarjeta,1,0
17,38.98,4,22,0,premium,transferencia,0,0
14,11.89,0,36,0,basico,efectivo,0,1
18,46.38,12,51,0,premium,tarjeta,0,0
15,5.0,9,7,0,basico,transferencia,0,0
13,40.72,4,69,0,premium,tarjeta,1,1
23,19.31,9,10,0,estandar,tarjeta,0,0
10,28.15,3,8,0,estandar,transferencia,1,1
5,5.0,7,22,0,basico,tarjeta,1,0
8,44.69,13,8,1,premium,efectivo,1,0
8,14.87,9,20,3,basico,tarjeta,0,0
44,12.75,5,0,0,basico,tarjeta,0,0
27,10.24,8,15,3,basico,tarjeta,0,1
14,26.39,11,9,0,estandar,tarjeta,0,0
8,16.15,9,55,1,basico,efectivo,0,1
23,44.57,9,6,0,premium,transferencia,0,0
14,16.04,8,3,0,estandar,tarjeta,0,0
10,16.59,0,84,1,basico,tarjeta,1,1
14,13.6,10,25,0,basico,transferencia,0,0
11,11.87,14,16,0,basico,transferencia,0,0
17,17.08,3,40,1,estandar,tarjeta,0,1
5,43.81,2,27,1,premium,tarjeta,0,0
17,8.5,3,1,0,basico,tarjeta,0,0
11,40.13,7,4,2,premium,tarjeta,0,0
23,11.45,4,15,2,basico,tarjeta,0,0
27,42.86,12,26,0,premium,tarjeta,0,0
31,43.12,7,2,0,premium,tarjeta,0,0
46,27.96,6,12,0,estandar,tarjeta,0,0
31,26.02,10,52,1,estandar,tarjeta,0,0
23,43.02,10,1,0,premium,efectivo,0,0
5,9.51,8,36,0,basico,tarjeta,0,0
1,10.18,6,6,0,basico,tarjeta,0,0
25,11.01,9,12,0,basico,tarjeta,0,1
7,27.34,6,51,0,estandar,tarjeta,0,1
60,20.83,5,76,0,estandar,efectivo,0,1
4,30.83,11,7,1,estandar,tarjeta,0,0
22,47.34,7,47,3,premium,tarjeta,1,1
15,5.0,16,36,0,basico,efectivo,0,1
4,25.34,4,2,2,estandar,transferencia,0,0
15,16.16,10,1,1,basico,transferencia,1,1
7,13.55,13,33,0,basico,tarjeta,0,0
12,23.35,2,8,1,estandar,tarjeta,0,0
12,44.76,2,13,0,premium,transferencia,1,1
7,25.71,4,12,0,estandar,tarjeta,1,0
10,15.08,12,6,1,basico,transferencia,0,0
7,19.34,3,65,0,estandar,transferencia,0,1
3,9.58,5,41,0,basico,tarjeta,0,1
14,51.55,0,20,2,premium,tarjeta,1,1
30,25.13,17,12,0,estandar,tarjeta,0,0
7,18.11,6,4,0,basico,tarjeta,0,0
40,23.94,8,5,0,basico,transferencia,0,0
46,10.03,4,90,0,basico,transferencia,0,1
9,40.21,4,22,0,premium,tarjeta,0,0
11,23.94,7,14,0,estandar,transferencia,0,1
9,29.4,9,16,0,estandar,tarjeta,0,0
5,29.96,13,90,0,estandar,transferencia,0,1
11,34.09,8,5,2,estandar,tarjeta,1,0
10,11.85,1,45,0,basico,transferencia,1,1
14,46.95,1,17,2,premium,transferencia,0,1
14,9.15,4,19,1,basico,tarjeta,0,0
5,14.97,2,16,0,estandar,tarjeta,0,0
19,24.84,1,2,1,estandar,efectivo,0,0
11,20.38,8,8,0,estandar,tarjeta,0,0
6,47.57,14,1,1,premium,transferencia,0,0
11,5.0,6,1,2,basico,efectivo,0,1
15,22.04,6,70,2,estandar,efectivo,0,1
34,13.07,12,3,0,basico,tarjeta,0,0
31,26.49,8,1,0,estandar,transferencia,1,0
9,11.81,13,23,0,basico,efectivo,0,1
12,19.47,11,40,0,basico,tarjeta,0,1
7,18.28,9,1,2,basico,tarjeta,0,0
16,9.26,5,4,0,basico,tarjeta,0,0
9,18.44,10,22,0,basico,transferencia,0,0
11,32.05,12,6,0,estandar,tarjeta,0,0
26,24.5,8,0,0,estandar,tarjeta,0,0
5,12.18,16,67,0,basico,tarjeta,0,1
31,11.8,4,19,0,basico,transferencia,0,0
17,9.42,6,27,0,basico,tarjeta,0,1
30,22.82,11,6,0,estandar,efectivo,0,0
21,17.28,5,23,0,basico,transferencia,1,0
24,13.75,4,87,0,basico,efectivo,1,1
13,9.78,9,11,0,basico,efectivo,0,0
6,21.3,7,2,1,estandar,tarjeta,0,0
8,8.97,15,14,1,basico,transferencia,0,0
7,24.34,8,11,0,estandar,tarjeta,0,0
2,28.65,1,7,1,estandar,efectivo,0,1
26,21.56,7,30,1,estandar,tarjeta,0,1
12,28.61,18,13,1,estandar,transferencia,0,0
7,25.79,3,1,1,estandar,transferencia,0,0
44,12.57,11,4,1,basico,tarjeta,0,0
57,29.1,13,2,0,estandar,transferencia,0,0
4,28.37,8,19,1,estandar,tarjeta,0,0
11,6.38,6,8,1,basico,tarjeta,0,0
11,20.66,8,4,2,estandar,tarjeta,0,0
6,11.08,10,2,1,basico,tarjeta,0,0
25,26.42,7,41,1,estandar,tarjeta,1,0
2,30.46,6,17,1,estandar,efectivo,0,1
37,45.26,10,26,0,premium,tarjeta,1,0
14,51.81,13,11,0,premium,tarjeta,0,0
42,22.17,11,25,0,estandar,efectivo,0,0
13,22.85,6,29,1,estandar,transferencia,0,1
11,23.78,9,44,0,estandar,tarjeta,0,1
26,8.73,8,29,0,basico,efectivo,0,0
42,49.64,6,4,3,premium,tarjeta,0,0
38,13.92,10,18,0,estandar,tarjeta,0,0
3,9.99,6,30,1,basico,tarjeta,0,1
32,16.59,7,33,1,basico,transferencia,0,0
10,43.75,9,0,1,premium,tarjeta,0,0
12,16.29,6,36,1,basico,tarjeta,0,1
10,20.79,5,11,1,basico,transferencia,1,1
8,12.32,7,29,1,basico,tarjeta,1,1
11,16.68,3,61,0,basico,tarjeta,0,1
6,21.68,8,41,0,basico,transferencia,0,0
32,26.61,8,30,0,estandar,transferencia,0,0
21,11.81,12,50,1,basico,tarjeta,0,0
16,48.61,12,17,0,premium,tarjeta,1,0
10,49.74,9,12,0,premium,efectivo,0,0
9,11.84,3,5,0,basico,tarjeta,0,0
18,10.06,12,13,0,basico,tarjeta,0,0
16,31.87,9,2,0,estandar,tarjeta,0,0
28,10.92,9,6,0,basico,tarjeta,0,0
9,16.77,14,2,2,basico,efectivo,1,0
8,46.05,6,27,0,premium,tarjeta,1,1
21,52.31,5,52,0,premium,tarjeta,0,1
24,21.6,19,29,1,estandar,tarjeta,0,0
54,8.6,8,1,0,basico,tarjeta,0,0
3,28.42,9,36,0,estandar,tarjeta,0,1
33,20.48,10,6,1,estandar,efectivo,0,0
15,12.47,10,17,0,basico,transferencia,0,0
9,31.19,2,5,1,estandar,tarjeta,0,0
18,5.0,0,2,1,basico,tarjeta,0,0
18,13.61,8,24,2,basico,tarjeta,0,1
9,29.85,8,25,0,estandar,tarjeta,1,0
3,11.9,5,42,1,basico,tarjeta,0,1
33,8.29,3,14,0,basico,tarjeta,1,0
8,43.95,2,13,1,premium,transferencia,0,0
7,41.65,10,19,0,premium,efectivo,0,1
8,25.28,0,0,1,estandar,tarjeta,0,0
23,43.89,12,15,0,premium,efectivo,1,1
10,42.95,5,11,0,premium,tarjeta,0,0
8,13.86,2,29,1,basico,tarjeta,0,1
17,18.32,4,30,0,basico,transferencia,0,1
16,13.31,9,19,1,basico,tarjeta,0,0
8,17.37,2,9,1,basico,tarjeta,0,0
3,31.32,6,27,0,estandar,transferencia,0,1
23,9.65,8,48,1,basico,tarjeta,0,0
16,26.1,9,20,0,estandar,efectivo,0,0
2,10.3,8,18,1,basico,tarjeta,0,0
36,6.07,6,5,0,basico,transferencia,1,0
2,46.42,3,16,2,premium,tarjeta,0,1
